new_version   cctbx_lbfgs/
0.3/    1.954    2.784    2.305   28.89
0.6/    1.839    3.048    2.346   32.22
0.9/    1.829    5.044    2.613   21.11
1.2/    1.741    6.031    3.203   18.89
1.5/    1.775    6.497    3.739    7.78
new_version   ani_lbfgs/
0.3/    1.951    2.227    2.032   88.89
0.6/    1.946    3.487    2.058   86.67
0.9/    1.938    4.540    2.265   76.67
1.2/    1.942    6.527    2.783   55.56
1.5/    1.946    7.501    3.130   43.33
new_version   qr_cctbx_lbfgs/
0.3/    1.954    2.784    2.305   28.89
0.6/    1.839    3.048    2.346   32.22
0.9/    1.829    5.044    2.613   21.11
1.2/    1.741    6.031    3.203   18.89
1.5/    1.775    6.497    3.739    7.78
new_version   qr_ani_lbfgs/
0.3/    1.915    2.250    2.024   97.78
0.6/    1.903    3.332    2.108   85.56
0.9/    1.142    5.772    2.538   56.67
1.2/    1.932    5.350    2.912   37.78
1.5/    1.935    6.972    3.331   27.78

